frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
24,1.166667,-1,0,1,1,0.434304,-0.303856,6.994198,-0.573298,-0.255002,7.058117,-0.497926,-0.905342,6.693046,-0.380215,-0.862058,6.057166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.024094,4.991169,0.000000,0.000000,0.0,24,1,0,1,-13.811768,4.498162,-0.996813,0.050800,0.061515,0.050739,0.998709,-0.002564,-0.061566,0.000566,-0.998103,1
25,1.200000,-1,0,1,1,0.434318,-0.302734,6.986201,-0.573116,-0.254637,7.050259,-0.497735,-0.904683,6.684856,-0.379546,-0.861341,6.048805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.024094,4.991169,0.000000,0.000000,0.0,25,1,0,1,-13.868942,4.495787,-0.996820,0.050308,0.061802,0.050248,0.998734,-0.002513,-0.061851,0.000600,-0.998085,1
26,1.266667,-1,0,1,1,0.435070,-0.300772,6.972714,-0.573175,-0.253634,7.037089,-0.499473,-0.898949,6.667284,-0.378787,-0.859038,6.031015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.024094,4.647947,0.000000,0.000000,0.0,26,1,0,1,-14.131836,4.185953,-0.996840,0.049259,0.062326,0.049201,0.998786,-0.002453,-0.062371,0.000621,-0.998053,1
27,1.300000,-1,0,1,1,0.435104,-0.299728,6.964084,-0.572794,-0.252948,7.028586,-0.501527,-0.898031,6.657807,-0.378594,-0.857586,6.021626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.024094,4.647947,0.000000,0.000000,0.0,27,1,0,1,-14.341080,4.232831,-0.996848,0.048800,0.062552,0.048745,0.998808,-0.002403,-0.062595,0.000654,-0.998039,1
28,1.366667,-1,0,1,1,0.435825,-0.297779,6.949538,-0.572846,-0.251662,7.014336,-0.508371,-0.898000,6.642980,-0.379742,-0.855805,6.007263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.381897,4.647947,0.000000,0.000000,0.0,28,1,0,1,-14.863510,4.393381,-0.996866,0.047887,0.062975,0.047834,0.998853,-0.002346,-0.063015,0.000673,-0.998012,1
29,1.400000,-1,0,1,1,0.436019,-0.296777,6.941456,-0.572664,-0.250992,7.006383,-0.510797,-0.897002,6.634174,-0.380177,-0.854288,5.998663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.543823,4.647947,0.000000,0.000000,0.0,29,1,0,1,-15.049576,4.438804,-0.996873,0.047482,0.063158,0.047432,0.998872,-0.002298,-0.063196,0.000705,-0.998001,1
30,1.466667,-1,0,1,1,0.436540,-0.294443,6.924075,-0.572516,-0.249570,6.989274,-0.514777,-0.895271,6.615698,-0.381444,-0.850750,5.980579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.869629,4.647947,0.000000,0.000000,0.0,30,1,0,1,-15.308167,4.594081,-0.996893,0.046590,0.063515,0.046542,0.998914,-0.002240,-0.063550,0.000723,-0.997978,1
31,1.500000,-1,0,1,1,0.436598,-0.293321,6.914814,-0.572386,-0.248907,6.980127,-0.515960,-0.894644,6.606092,-0.381830,-0.848931,5.971149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.994919,4.647947,0.000000,0.000000,0.0,31,1,0,1,-15.386215,4.694427,-0.996902,0.046175,0.063671,0.046129,0.998933,-0.002191,-0.063705,0.000753,-0.997969,1
32,1.566667,-1,0,1,1,0.436574,-0.290842,6.895497,-0.572339,-0.247633,6.961017,-0.517346,-0.896004,6.588471,-0.382660,-0.846038,5.953878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.994919,4.647947,0.000000,0.000000,0.0,32,1,0,1,-15.445923,5.056222,-0.996928,0.045189,0.063976,0.045146,0.998978,-0.002125,-0.064007,0.000770,-0.997949,1
33,1.600000,-1,0,1,1,0.436353,-0.289629,6.885441,-0.572151,-0.247037,6.951035,-0.517465,-0.896816,6.579576,-0.382851,-0.844603,5.945141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.994919,4.792968,0.000000,0.000000,0.0,33,1,0,1,-15.443802,5.245889,-0.996941,0.044716,0.064110,0.044675,0.998999,-0.002073,-0.064138,0.000798,-0.997941,1
