frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
110,5.480165,1,802.095,449.214,1,644.366,442.888,1,579.975,547.037,1,515.598,481.865,1,484.179,465.442,1,500.484,468.682,1
111,5.513580,1,802.202,449.330,1,644.365,442.929,1,579.977,547.400,1,515.874,481.854,1,484.497,465.146,1,500.804,468.481,1
112,5.580412,1,802.211,449.336,1,644.365,442.943,1,579.987,548.048,1,516.250,481.852,1,484.752,464.677,1,501.204,468.217,1
113,5.613827,1,802.321,449.342,1,644.363,442.964,1,579.988,548.376,1,516.403,481.831,1,484.765,464.377,1,501.322,468.069,1
114,5.680658,1,802.868,449.466,1,644.418,442.967,1,579.964,548.567,1,516.430,481.777,1,484.736,464.255,1,501.310,468.053,1
115,5.714074,1,803.118,449.557,1,644.475,442.971,1,579.966,548.707,1,516.435,481.737,1,484.665,464.190,1,501.304,468.044,1
116,5.780905,1,803.835,449.651,1,644.540,442.974,1,580.034,548.847,1,516.456,481.735,1,484.657,464.150,1,501.297,468.039,1
117,5.814321,1,804.698,449.769,1,644.567,443.014,1,580.304,548.985,1,516.513,481.748,1,484.630,464.140,1,501.292,468.048,1
118,5.881152,1,805.111,449.827,1,644.576,443.102,1,580.845,549.192,1,516.676,481.762,1,484.589,464.105,1,501.289,468.054,1
119,5.914568,1,805.610,449.836,1,644.579,443.337,1,581.173,549.287,1,516.777,481.715,1,484.551,463.967,1,501.283,468.006,1
120,5.981399,1,807.342,449.884,1,644.604,443.487,1,582.476,549.227,1,517.295,481.690,1,484.813,463.895,1,501.814,467.991,1
121,6.014815,1,808.603,450.101,1,644.783,443.551,1,583.272,549.089,1,517.702,481.679,1,485.155,463.880,1,502.489,467.989,1
122,6.081646,1,809.239,450.265,1,644.972,443.615,1,583.962,549.087,1,518.640,481.753,1,486.062,463.894,1,503.331,468.028,1
123,6.115062,1,809.672,450.466,1,645.243,443.652,1,584.509,549.086,1,519.230,481.787,1,486.659,463.889,1,503.862,468.030,1
124,6.181893,1,809.894,450.476,1,645.506,443.760,1,584.898,549.140,1,519.519,481.820,1,487.077,463.885,1,504.117,468.029,1
125,6.215309,1,810.244,450.470,1,645.761,443.977,1,585.219,549.353,1,519.693,481.834,1,487.348,463.881,1,504.273,468.028,1
126,6.282140,1,810.577,450.471,1,646.155,444.294,1,585.792,549.493,1,520.020,481.860,1,487.887,463.878,1,504.711,468.035,1
127,6.315556,1,811.209,450.559,1,647.062,444.297,1,585.900,549.452,1,520.035,481.772,1,487.860,464.114,1,504.696,468.070,1
128,6.382387,1,812.017,451.085,1,647.951,444.300,1,585.884,549.359,1,520.040,481.700,1,487.838,464.333,1,504.693,468.124,1
129,6.415802,1,812.539,451.546,1,648.448,444.293,1,585.869,549.307,1,520.043,481.698,1,487.822,464.578,1,504.716,468.258,1
130,6.482634,1,812.971,451.924,1,648.580,444.342,1,585.717,549.311,1,519.990,481.646,1,487.733,464.753,1,504.692,468.324,1
131,6.516049,1,813.283,452.171,1,648.756,444.396,1,585.511,549.319,1,519.979,481.639,1,487.720,464.863,1,504.695,468.379,1
132,6.582881,1,813.450,452.478,1,648.768,444.460,1,585.084,549.432,1,519.976,481.738,1,487.706,465.050,1,504.759,468.577,1
133,6.616296,1,813.470,452.727,1,648.785,444.513,1,584.631,549.565,1,519.949,481.792,1,487.694,465.187,1,504.769,468.718,1
134,6.683128,1,813.483,453.138,1,649.004,444.506,1,584.508,549.635,1,519.917,481.947,1,487.647,465.470,1,504.773,469.079,1
135,6.716543,1,813.422,453.479,1,649.076,444.515,1,584.394,549.728,1,519.907,482.131,1,487.578,465.600,1,504.768,469.224,1
136,6.783374,1,813.374,453.869,1,649.136,444.517,1,584.286,549.791,1,519.905,482.396,1,487.535,465.756,1,504.774,469.423,1
137,6.816790,1,813.260,454.165,1,649.142,444.563,1,584.214,549.948,1,519.889,482.484,1,487.489,465.796,1,504.757,469.468,1
