frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
37,1.803689,1,1,1,1,1.021311,0.229592,10.644004,0.088250,0.301930,10.326824,-0.283308,-0.394041,10.291241,-0.561848,0.054408,10.674672,-0.710571,0.318705,10.838139,-0.718135,0.224337,10.927659,154.832611,41.210960,4.037338,-64.120453,1.0,37,1,1,1,156.703644,41.888664,-0.957396,0.072668,-0.279485,0.069757,0.997356,0.020364,0.280226,0.000000,-0.959934,1
38,1.870492,1,1,1,1,1.018543,0.228470,10.603684,0.088292,0.301214,10.275474,-0.283231,-0.390325,10.239640,-0.556926,0.055983,10.625113,-0.693343,0.320145,10.795490,-0.703819,0.226761,10.882498,156.259216,41.513107,2.167221,-64.120453,1.0,38,1,1,1,158.174438,41.918736,-0.952884,0.072939,-0.294436,0.069688,0.997336,0.021533,0.295222,-0.000000,-0.955429,1
39,1.903893,1,1,1,1,1.017258,0.227970,10.585259,0.088282,0.300866,10.252036,-0.283100,-0.388654,10.216120,-0.554748,0.056484,10.602836,-0.686267,0.320622,10.776336,-0.697865,0.227640,10.862185,156.886780,41.513107,1.389755,-64.120453,1.0,39,1,1,1,158.842224,41.897797,-0.950828,0.073060,-0.300978,0.069653,0.997328,0.022048,0.301785,-0.000000,-0.953376,1
40,1.970697,1,1,1,1,1.014820,0.226575,10.551417,0.088242,0.300166,10.208982,-0.282883,-0.385478,10.172970,-0.550448,0.057614,10.562489,-0.671881,0.323450,10.741073,-0.686389,0.231651,10.824891,158.291748,41.513107,-0.229156,-64.368591,1.0,40,1,1,1,160.177795,41.855091,-0.946663,0.073427,-0.313748,0.069698,0.997301,0.023100,0.314597,0.000000,-0.949225,1
41,2.004098,1,1,1,1,1.013478,0.225554,10.534813,0.088180,0.299727,10.188004,-0.282629,-0.383975,10.151974,-0.548482,0.058046,10.542977,-0.665696,0.324866,10.723639,-0.681571,0.233704,10.806552,158.895142,41.513107,-0.892105,-64.551979,1.0,41,1,1,1,160.775269,41.808762,-0.944770,0.073653,-0.319351,0.069774,0.997284,0.023585,0.320221,0.000000,-0.947343,1
42,2.070902,1,1,1,1,1.011620,0.222493,10.506920,0.088094,0.298959,10.152859,-0.282313,-0.381402,10.116831,-0.545147,0.058928,10.510701,-0.654233,0.328282,10.694633,-0.673120,0.238786,10.775843,160.164795,41.513107,-2.207703,-65.183853,1.0,42,1,1,1,161.869232,41.720779,-0.941001,0.074638,-0.330070,0.070431,0.997211,0.024705,0.330994,0.000000,-0.943633,1
43,2.104303,1,1,1,1,1.010651,0.220940,10.493599,0.088025,0.298498,10.136185,-0.282110,-0.380277,10.100172,-0.543697,0.059260,10.495438,-0.649618,0.329700,10.680694,-0.669741,0.240945,10.761139,160.694336,41.513107,-2.726746,-65.523071,1.0,43,1,1,1,162.344360,41.667400,-0.939315,0.075183,-0.334716,0.070821,0.997170,0.025236,0.335666,0.000000,-0.941981,1
44,2.171107,1,1,1,1,1.009330,0.217403,10.471206,0.087916,0.297368,10.108250,-0.282191,-0.378505,10.072275,-0.541416,0.059885,10.470148,-0.641769,0.332211,10.657624,-0.664184,0.245105,10.736566,161.769440,41.513107,-3.669983,-66.390793,1.0,44,1,1,1,163.212708,41.583244,-0.936037,0.076697,-0.343443,0.072004,0.997054,0.026419,0.344458,0.000000,-0.938802,1
45,2.204508,1,1,1,1,1.008547,0.215758,10.460180,0.087841,0.296649,10.094584,-0.282210,-0.377714,10.058636,-0.540395,0.060106,10.457769,-0.638689,0.333108,10.646192,-0.661959,0.246685,10.724444,162.213379,41.513107,-4.024612,-66.820007,1.0,45,1,1,1,163.596680,41.535980,-0.934586,0.077422,-0.347209,0.072575,0.996998,0.026963,0.348255,0.000000,-0.937400,1
46,2.271311,1,1,1,1,1.007514,0.212327,10.441652,0.087743,0.294892,10.071692,-0.282474,-0.376544,10.035799,-0.538868,0.060524,10.437175,-0.633906,0.334466,10.627273,-0.658496,0.249177,10.704258,163.094879,41.513107,-4.616272,-67.791367,1.0,46,1,1,1,164.278259,41.464432,-0.931809,0.079010,-0.354243,0.073854,0.996874,0.028077,0.355354,-0.000000,-0.934732,1
47,2.304713,1,1,1,1,1.006838,0.210841,10.432240,0.087670,0.293948,10.060130,-0.282461,-0.376036,10.024270,-0.538112,0.060753,10.426642,-0.632034,0.335029,10.617435,-0.657054,0.250080,10.693903,163.453613,41.513107,-4.829056,-68.249588,1.0,47,1,1,1,164.571289,41.434330,-0.930589,0.079706,-0.357284,0.074410,0.996818,0.028568,0.358424,0.000000,-0.933559,1
48,2.371516,1,1,1,1,1.005961,0.207902,10.416386,0.087530,0.291937,10.040762,-0.282407,-0.375679,10.004956,-0.536941,0.061302,10.408739,-0.629306,0.335871,10.600817,-0.654803,0.251277,10.676433,164.136475,41.513107,-5.163696,-69.200394,1.0,48,1,1,1,165.053223,41.434532,-0.928275,0.081039,-0.362957,0.075475,0.996711,0.029511,0.364154,0.000000,-0.931339,1
49,2.404918,1,1,1,1,1.005677,0.206720,10.409735,0.087465,0.291102,10.032679,-0.282341,-0.375750,9.996891,-0.536505,0.061521,10.401151,-0.628361,0.336125,10.593810,-0.653976,0.251619,10.669059,164.403870,41.513107,-5.163696,-69.631378,1.0,49,1,1,1,165.236938,41.449772,-0.927285,0.081605,-0.365354,0.075924,0.996665,0.029914,0.366576,0.000000,-0.930388,1
50,2.471721,1,1,1,1,1.005380,0.204435,10.398370,0.087270,0.289330,10.019136,-0.281975,-0.376506,9.983369,-0.535750,0.061725,10.388096,-0.626979,0.336191,10.581826,-0.652631,0.251736,10.656465,164.875397,41.513107,-5.410706,-70.466446,1.0,50,1,1,1,165.508423,41.512814,-0.925498,0.082614,-0.369633,0.076722,0.996582,0.030642,0.370901,0.000000,-0.928673,1
51,2.505123,1,1,1,1,1.004989,0.203440,10.391880,0.087144,0.288436,10.011477,-0.281680,-0.376753,9.975722,-0.535258,0.061658,10.380729,-0.626311,0.336044,10.574924,-0.651953,0.251601,10.649307,165.060303,41.513107,-5.410706,-70.836357,1.0,51,1,1,1,165.636353,41.522984,-0.924730,0.083019,-0.371459,0.077036,0.996548,0.030945,0.372745,0.000000,-0.927934,1
52,2.571926,1,1,1,1,1.004732,0.201700,10.380664,0.086917,0.286481,9.998647,-0.281167,-0.377664,9.962902,-0.534529,0.060949,10.368384,-0.625477,0.335343,10.563252,-0.651052,0.250906,10.637250,165.401123,41.513107,-5.410706,-71.533615,1.0,52,1,1,1,165.858734,41.531628,-0.923369,0.083575,-0.374707,0.077441,0.996502,0.031426,0.376023,0.000000,-0.926610,1
53,2.605328,1,1,1,1,1.004545,0.201017,10.375075,0.086812,0.285607,9.992289,-0.280915,-0.378004,9.956549,-0.534172,0.060534,10.362308,-0.625147,0.334976,10.557422,-0.650683,0.250535,10.631274,165.537598,41.513107,-5.410706,-71.838814,1.0,53,1,1,1,165.962830,41.522755,-0.922797,0.083758,-0.376073,0.077564,0.996486,0.031610,0.377399,-0.000000,-0.926051,1
54,2.672131,1,1,1,1,1.004574,0.199867,10.365482,0.086747,0.284035,9.981637,-0.280465,-0.378728,9.945903,-0.533589,0.059605,10.352184,-0.624848,0.334406,10.547425,-0.650287,0.249870,10.621199,165.799561,41.513107,-5.410706,-72.402443,1.0,54,1,1,1,166.151245,41.501064,-0.921808,0.083913,-0.378456,0.077626,0.996473,0.031870,0.379796,0.000000,-0.925070,1
55,2.705533,1,1,1,1,1.004516,0.199412,10.360667,0.086825,0.283365,9.976188,-0.280021,-0.378932,9.940465,-0.533130,0.059445,10.346897,-0.624634,0.334536,10.542050,-0.649996,0.249841,10.615902,165.799561,41.513107,-5.410706,-72.644760,1.0,55,1,1,1,166.223328,41.502552,-0.921388,0.083939,-0.379472,0.077614,0.996471,0.031965,0.380816,0.000000,-0.924651,1
56,2.772336,1,1,1,1,1.004847,0.198747,10.352732,0.087433,0.282199,9.967059,-0.278281,-0.379495,9.931375,-0.531518,0.059568,10.337680,-0.624086,0.335237,10.532381,-0.649229,0.250051,10.606562,166.020477,41.513107,-5.410706,-73.065483,1.0,56,1,1,1,166.317017,41.558666,-0.920609,0.083832,-0.381380,0.077450,0.996480,0.032085,0.382727,0.000000,-0.923861,1
57,2.805738,1,1,1,1,1.005132,0.198522,10.349392,0.087779,0.281761,9.963249,-0.277434,-0.379805,9.927582,-0.530693,0.059640,10.333763,-0.623814,0.335431,10.528262,-0.648858,0.250033,10.602594,166.020477,41.513107,-5.410706,-73.241066,1.0,57,1,1,1,166.355347,41.593174,-0.920282,0.083757,-0.382186,0.077352,0.996486,0.032124,0.383533,0.000000,-0.923527,1
58,2.872541,1,1,1,1,1.006187,0.198205,10.343600,0.088719,0.280858,9.956867,-0.275701,-0.380639,9.921226,-0.528385,0.059748,10.327145,-0.623374,0.334713,10.521728,-0.648079,0.248844,10.596098,166.020477,41.513107,-5.410706,-73.543182,1.0,58,1,1,1,166.481628,41.699478,-0.919728,0.083466,-0.383580,0.077034,0.996511,0.032128,0.384923,-0.000000,-0.922949,1
59,2.905943,1,1,1,1,1.006370,0.198071,10.339503,0.089147,0.280346,9.952196,-0.274924,-0.380824,9.916572,-0.527127,0.059778,10.322513,-0.623186,0.334231,10.517180,-0.647592,0.248160,10.591546,166.154846,41.513107,-5.410706,-73.670761,1.0,59,1,1,1,166.573425,41.736820,-0.919480,0.083295,-0.384212,0.076855,0.996525,0.032114,0.385551,0.000000,-0.922686,1
